,评分,片名,年份,地区,豆瓣链接
88,8.8,小羊肖恩：美好时光,2010,['英国'],https://movie.douban.com/subject/4817020/
89,8.8,さらば！黄金の聖闘士,2007-02-16,['日本'],https://movie.douban.com/subject/2134081/
90,8.8,苍穹的法芙娜 RIGHT OF LEFT,2005-12-29,['日本'],https://movie.douban.com/subject/3722566/
91,8.8,莫麟传奇,2011-01-24,['中国大陆'],https://movie.douban.com/subject/5960613/
92,8.8,古剑奇谭2：永夜初晗,2014-01-01,['中国大陆'],https://movie.douban.com/subject/25779712/
93,8.8,通烟囱工人与牧羊女,1953-05-29,['法国'],https://movie.douban.com/subject/1786569/
94,8.8,你是个好人，查理·布朗,1985-11-06,['美国'],https://movie.douban.com/subject/3097520/
95,8.8,海绵宝宝对大块头,2009-04-17,['美国'],https://movie.douban.com/subject/3562461/
96,8.7,超能陆战队,2015-02-28,['美国'],https://movie.douban.com/subject/11026735/
97,8.7,疯狂原始人,2013-04-20,['美国'],https://movie.douban.com/subject/1907966/
98,8.7,心灵奇旅,2020-12-25,['美国'],https://movie.douban.com/subject/24733428/
99,8.7,驯龙高手,2010-05-14,['美国'],https://movie.douban.com/subject/2353023/
